date,symbol,open,high,low,close,Volume.USD,Volume.BTC
2019-12-30,BTC/USD,7413.6,7421.7,7201.29,7260.9,29849437.96,4088.96
2019-12-31,BTC/USD,7260.9,7333,7161.3,7208.3,21652483.87,2992.69
2020-01-01,BTC/USD,7208.3,7285.1,7185.4,7212.7,14993026.32,2071.06
2020-01-02,BTC/USD,7212.7,7225.8,6963,6989.4,34321807.28,4849.34
2020-01-03,BTC/USD,6989.4,7444.9,6909.3,7370.4,48359196.72,6681.67
2020-01-04,BTC/USD,7370.4,7422,7297.3,7369.83,31385540.36,4265.71
2020-01-05,BTC/USD,7370.3,7509.9,7315.8,7364.6,33105719.3,4450.64
2020-01-06,BTC/USD,7364.6,7785,7358,7757.9,64874323.8,8541.28
2020-01-07,BTC/USD,7757.9,8210.3,7741.9,8154.1,98096735.63,12355.97
2020-01-08,BTC/USD,8154.1,8442,7877.6,8036.8,96131138.38,11756.8
2020-01-09,BTC/USD,8036.8,8036.8,7756,7817.45,36842360.15,4671.29
2020-01-10,BTC/USD,7817.45,8185.9,7675.8,8183,62465691.66,7857.92
2020-01-11,BTC/USD,8183,8282.4,7991.8,8013.7,34520377.58,4254.52
2020-01-12,BTC/USD,8013.63,8174.7,7951.7,8174.7,25988431.58,3207.42
2020-01-13,BTC/USD,8174.7,8199.7,8053.6,8095.8,21018045.85,2593.24
2020-01-14,BTC/USD,8095.8,8829,8095.8,8775,142180337.82,16573.66
2020-01-15,BTC/USD,8775,8873,8560.1,8807.7,76709277.03,8779.12
2020-01-16,BTC/USD,8807.7,8839.9,8579.8,8720.6,46071195.53,5311.58
2020-01-17,BTC/USD,8720.6,9000,8674.2,8875.4,85935548.7,9692.87
