,btc,#BTC,ethereum,eth,bitcoin
2015-09-25,0.37638889965129796,0.09034004424778762,0.052761999999999996,0.28555174388339405,0.27829741744078595
2015-09-26,0.3886048001837391,0.12150936454849498,0.08590217391304349,0.25412060889929744,0.2927711616571893
2015-09-27,0.39356766819072503,0.12298714285714286,0.14379411764705882,0.17058264277715565,0.3058062090663927
2015-09-28,0.36995976652074214,0.12228694533762058,0.04270711462450593,0.2129821294810059,0.3109100795325434
2015-09-29,0.3846515301085884,0.09764171883893,0.09406535433070866,0.2401823124042879,0.2807755830532641
2015-09-30,0.3203971619365609,0.0944736231884058,0.0958577981651376,0.16294194897532413,0.28043756947953513
2015-10-01,0.35755450643776826,0.07513417653390743,0.049752727272727275,0.18895119337554797,0.27851484683127126
2015-10-02,0.36798519393581414,0.08904273195876289,0.11972690355329949,0.2649275923718713,0.29114014745308314
2015-10-03,0.4085297195013357,0.12821688637790332,0.12416268656716418,0.22947165575304024,0.323083619130309
2015-10-04,0.3485362931465733,0.12993784634760705,0.15754525139664805,0.19337313746065057,0.25027323480013436
2015-10-05,0.16854691695673793,0.12300219895287959,0.10986571428571429,0.2397495262704565,0.23839289602612956
2015-10-06,0.21921732753938078,0.1277986878075451,0.1077,0.25063705972434913,0.26074898774496574
2015-10-07,0.35789260322366967,0.11962330743618202,0.14487394366197184,0.24967207235798158,0.3070531460426096
2015-10-08,0.3570338944305902,0.10609889441680487,0.18836944444444445,0.20530544147843943,0.2787104552934723
2015-10-09,0.3111527791321307,0.1269835540838852,0.15357543859649123,0.23705639889196675,0.28132715208034437
2015-10-10,0.28466065438548255,0.13328942128189172,0.15315166666666666,0.2192287,0.2900442137381856
2015-10-11,0.26072934844192636,0.1398093373493976,0.1548257142857143,0.18008953488372093,0.27272261102658846
2015-10-12,0.20615257111597374,0.15561712962962962,0.034562499999999996,0.26528801169590643,0.26186296133014236
2015-10-13,0.1882588913899831,0.12247655426765017,0.007459162303664918,0.31273116578793203,0.2561754946547753
2015-10-14,0.2217168479776848,0.13020930481283421,0.076068,0.23400515084621046,0.23222310888496786
2015-10-15,0.2854017419038273,0.1249207264957265,0.08980546875,0.2496057714505579,0.26301795168858255
2015-10-16,0.19507435110242813,0.142622702991453,0.02331730769230769,0.28637427031881457,0.253874275231565
2015-10-17,0.15703249232867372,0.11182974001268231,0.15460566037735848,0.22504118548799182,0.2628116119620715
2015-10-18,0.16952675619834712,0.10383174287607687,0.06033181818181818,0.2566035739814153,0.2780199401655883
2015-10-19,0.21420088520055325,0.10314345493562233,-0.030784000000000002,0.21473100189035918,0.2612986020769143
2015-10-20,0.16328036183250658,0.09754497237569061,0.005308080808080813,0.27707137073452864,0.18922186949855188
2015-10-21,0.18618974963181148,0.11081914772727273,0.044248633879781424,0.20853956639566396,0.20947204314254197
2015-10-22,0.20579646041610375,0.1063066225165563,0.10235845070422535,0.20481819105691057,0.20924362169112756
2015-10-23,0.19052086728754367,0.11924557900741586,0.037637391304347824,0.17788619599578503,0.22159710774507002
2015-10-24,0.16397422500870776,0.10948241106719368,0.07284852941176471,0.3060307179866765,0.1970694901437676
2015-10-25,0.23346416167664671,0.11738547979797981,0.12877321428571428,0.25400234505862646,0.2323545614678899
2015-10-26,0.2245092409240924,0.10300377142857144,0.09946153846153846,0.23665803620405926,0.209143221492396
2015-10-27,0.216032787750792,0.11303271865121181,0.05928231046931408,0.25997881278538815,0.21642335483100442
2015-10-28,0.141636664162284,0.0993926273458445,0.03316648501362398,0.19210775524724297,0.18194636785162288
2015-10-29,0.15882210577626127,0.14519300727566695,0.047419705340699815,0.22188950682056663,0.2071188178183895
2015-10-30,0.1465273050433237,0.12449966467958272,0.103275,0.2232000594177065,0.19337182952182952
2015-10-31,0.20246628636622932,0.16928740515933233,0.11052212389380532,0.2847249320652174,0.23335759962105512
2015-11-01,0.21858007701322618,0.1922575726407817,0.07330078740157481,0.22089543336439887,0.22414052863436124
2015-11-02,0.21952474747474748,0.1955584440227704,0.054543283582089555,0.199010944808232,0.19933688612681652
2015-11-03,0.20687122578169959,0.18664329402084476,0.10797469135802469,0.15880172043010754,0.18309643354479344
2015-11-04,0.20561553148379053,0.1984050629027309,0.023500763358778626,-0.15841156359979888,0.18178822770630368
2015-11-05,0.19874806070826306,0.1669660936497755,0.26832272727272727,0.1332671418389166,0.1791469635783239
2015-11-06,0.18759483669289642,0.17862232882686438,0.14419883040935672,0.23336836195508587,0.18387532309827392
2015-11-07,0.2240908500973394,0.19308863164143664,0.13600537634408602,0.28161185840707964,0.23095417508601387
2015-11-08,0.18669293179008878,0.18440029351335485,0.17365384615384616,0.2627959349593496,0.22292218770687988
2015-11-09,0.21952493705653467,0.18127087102177555,0.11518294797687861,0.1917884007029877,0.22540079883216416
2015-11-10,0.17134435900835213,0.17537687861271675,0.11269248704663212,0.20442838370565047,0.2344696463692106
2015-11-11,0.13864571481344662,0.14716568309235764,0.09011126331811263,0.17424433074089235,0.20923777854090353
2015-11-12,0.1578520728008089,0.16241403104026847,0.12260054945054945,0.21260523882896765,0.22154705776820954
2015-11-13,0.14212932437932438,0.12826631193880944,0.10648297872340426,0.242059375,0.19615932532742605
2015-11-14,0.11462766011094301,0.11915411577270314,0.09816913580246914,0.22752734299516908,0.2177082936413432
2015-11-15,0.13312725325424288,0.1305473725184897,0.0637551282051282,0.17225883116883117,0.21775066349662722
2015-11-16,0.12210601260956482,0.12238294668294669,0.2536731234866828,0.19106059817945384,0.215903223285798
2015-11-17,0.10856014439096631,0.1133965937762826,0.10746296296296295,0.3022453990228013,0.19383264192676333
2015-11-18,0.11700661848611639,0.1324417866371355,0.1452464480874317,0.23185594531854528,0.21865684234438892
2015-11-19,0.12226278019925281,0.13947180101090717,0.1513747572815534,0.2566995922066153,0.09831590377547611
2015-11-20,0.11857605709188225,0.12991758825367072,0.11297943925233644,0.3235048076923077,0.12299938836447699
2015-11-21,0.1596189101172384,0.13401448615851347,0.1109875,0.2832435276305829,0.15111159636415283
2015-11-22,0.1455981162540366,0.10619874673629243,0.09467105263157895,0.299367305524239,0.10447405548996458
2015-11-23,0.2632912874703472,0.10056455519329296,0.0845047619047619,0.23521112322791712,0.15707064586630493
2015-11-24,0.33146802139037435,0.150125,0.09687725118483412,0.280155505107832,0.23464244403619786
2015-11-25,0.31282151553989107,0.12962867777383907,0.10629254658385093,0.2967346670934699,0.24088132304550097
2015-11-26,0.27217682379349045,0.1209691448216588,0.14521666666666666,0.2935069579288026,0.21896003578700562
2015-11-27,0.14706306087800144,0.14137043841336117,0.1487159420289855,0.3380492594624246,0.18591119495984493
2015-11-28,0.14077355052457205,0.11607020042194094,0.1268820512820513,0.23487945945945946,0.18210882262526898
2015-11-29,0.1401560067208065,0.11029858416360777,0.14662112676056338,0.21139006134969326,0.21817939907666692
2015-11-30,0.13393695707391415,0.10755308760172332,0.09824133333333333,0.2299379695431472,0.1816442839506173
2015-12-01,0.13234436426971885,0.10900482954545455,-0.009005154639175257,0.24143430637386182,0.1678118430098119
2015-12-02,0.12234901196047843,0.10881033994334278,0.09611171874999999,0.18935407166123777,0.1284017439607286
